id_event,id_section,"title",id_film,"description","rooms","url_ticket","date","time",published,soldout,reprogrammed,"reprogramcode",is_private,is_free,id_place,"created_ts","updated_ts",id_film2,id_film3,id_film4,id_film5,id_film6,id_film7,id_film8,id_film9,id_film10,"tags"
1959,82,"Baumane - Programa de cortos",773,"","HOYTS7",NULL,"2012-04-15","23:45:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:34:13","2012-03-27 16:13:01",774,775,776,777,778,779,780,781,782,NULL
1960,0,"La Oruga / La sensibilidad",499,"","NULL",NULL,"2012-04-22","18:15:00",1,0,0,"",NULL,NULL,4,"2012-03-23 21:35:35","2012-03-23 21:35:35",484,0,0,0,0,0,0,0,0,NULL
1961,79,"Mozart Minute / A Fleeting Passage to the Orient",771,"","HOYTS7",NULL,"2012-04-16","15:00:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:35:54","2012-03-23 21:35:54",765,0,0,0,0,0,0,0,0,NULL
1962,66,"MESA INDUSTRY OFFICE - APIMA",0,"<b> TV DIGITAL, UN NUEVO ACTOR EN EL MEDIO AUDIOVISUAL</b><br>
Con Nicolás Avruj, Nicolás Batlle y Maximiliano Dubois. <br>
<b> Modera: </b> Vanessa Ragone.<br>
<br>
La entrada para esta actividad especial es gratuita. El ingreso está sujeto a la capacidad de cada sala.
<i>Admission to this special activity is free and subject to venue capacity.</i><br>
Para esta actividad en el Auditorio / Punto de Encuentro BAFICI asistir directamente.<br>
<i>For this activity taking place at the Auditorium / BAFICI Meeting Point no ticket is required.</i>","Auditorio",NULL,"2012-04-13","15:00:00",1,0,0,"",NULL,NULL,19,"2012-03-23 21:37:15","2012-03-27 18:04:20",0,0,0,0,0,0,0,0,0,NULL
1963,72,"A Day at Karl Marx's Grave / Helsinki, Forever",847,"","Sala Leopoldo Lugones",NULL,"2012-04-18","14:30:00",1,0,0,"",NULL,NULL,3,"2012-03-23 21:38:18","2012-03-23 21:38:18",851,0,0,0,0,0,0,0,0,NULL
1964,11,"El puente / La fábrica del futuro / Kauwboy",717,"","HOYTS5",NULL,"2012-04-18","15:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:40:06","2012-03-23 21:40:06",716,711,0,0,0,0,0,0,0,NULL
1965,65,"PRESENTACIÓN DEL LIBRO NOTAS SOBRE EL FUTURO DEL CINE",0,"PRESENTACIÓN DEL LIBRO NOTAS SOBRE EL FUTURO DEL CINE
<b> Buenos Aires Capital Mundial del Libro. </b><br>
Con Juan Manuel Domínguez, Christoph Huber, Quintín y Sergio Wolf.<br>
<br>
La entrada para esta actividad especial es gratuita. El ingreso está sujeto a la capacidad de cada sala.
<i>Admission to this special activity is free and subject to venue capacity.</i><br>
Para esta actividad en el Auditorio / Punto de Encuentro BAFICI asistir directamente.<br>
<i>For this activity taking place at the Auditorium / BAFICI Meeting Point no ticket is required.</i>","Auditorio",NULL,"2012-04-13","17:00:00",1,0,0,"",NULL,NULL,19,"2012-03-23 21:40:53","2012-03-27 18:06:05",0,0,0,0,0,0,0,0,0,NULL
1966,74,"Hirsch - Programa 1",819,"","HOYTS2",NULL,"2012-04-16","17:15:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:41:52","2012-03-23 21:41:52",822,818,817,821,820,0,0,0,0,NULL
1967,0,"Byun, objet trouvé / Midori-ko",681,"","HOYTS12",NULL,"2012-04-22","21:45:00",1,1,0,"",NULL,NULL,1,"2012-03-23 21:43:08","2012-04-11 22:05:37",661,0,0,0,0,0,0,0,0,NULL
1968,11,"El puente / La fábrica del futuro / Kauwboy",717,"","HOYTS5",NULL,"2012-04-16","17:30:00",1,0,0,"",NULL,NULL,1,"2012-03-23 21:44:33","2012-03-26 15:40:39",716,711,0,0,0,0,0,0,0,NULL
